sku,product_name,category,pack_size,unit_price,reorder_level
SEED-077-25000,Mondial,SEED,25000,100000,10
SEED-078-100000,Morelia,SEED,100000,200000,10
SEED-079-100,Morgan,SEED,100,34400,10
SEED-080-1000,Oak leaf lettuce KRISTINE RZ,SEED,1000,32000,10
SEED-081-1000,Oak leaf lettuce MONDAI RZ,SEED,1000,36000,10
SEED-082-100,Orange Tarta,SEED,100,189800,10
SEED-083-100,Palermo river,SEED,100,234000,10
SEED-084-100,Pasarella,SEED,100,31300,10
SEED-085-100,Primarino,SEED,100,75300,10
SEED-086-1000,Puntoverde,SEED,1000,220000,10
SEED-087-100,Rasbora,SEED,100,465800,10
SEED-088-100,Red Tatin,SEED,100,189800,10
SEED-089-1000,Red cabbage - redma,SEED,1000,41000,10
SEED-090-100,Reggaeton,SEED,100,32600,10
SEED-091-1000,Rincon,SEED,1000,60000,10
SEED-092-100,Rugantino,SEED,100,95100,10
SEED-093-100,Shelter,SEED,100,26200,10
SEED-094-100,Shinefit,SEED,100,130100,10
SEED-095-100,Slicer cucumber MYDAS RZ F1,SEED,100,30800,10
SEED-095-500,Slicer cucumber MYDAS RZ F1,SEED,500,154000,10
SEED-096-1000,Sondela,SEED,1000,756000,10
SEED-097-100,Sweet pepper ILANGA RZ F9,SEED,100,31300,10
SEED-098-100,Sweet pepper MASSILIA RZ F6,SEED,100,68100,10
SEED-099-100,Sweet pepper PASARELLA RZ F8,SEED,100,31300,10
SEED-100-500,Sweet pepper RED JET RZ F8,SEED,500,156500,10
SEED-101-100,Sweet pepper RED JET RZ F9,SEED,100,31300,10
SEED-102-100,Sweet pepper Reggaeton,SEED,100,32600,10
SEED-103-100,Sweet pepper Snack Triora,SEED,100,240000,10
SEED-104-100,Sweet pepper Snack Triyello,SEED,100,240000,10
SEED-105-10000,Swisschard charsano,SEED,10000,30000,10
SEED-106-1000,Tacoma,SEED,1000,15000,10
SEED-107-1000,Tahoe,SEED,1000,30000,10
SEED-108-1000,Tejal,SEED,1000,26000,10
SEED-109-1000,Tendita,SEED,1000,97000,10
SEED-110-100,Tomato Amburana,SEED,100,13300,10
SEED-111-100,Tomato FORTESA RZ F4,SEED,100,108800,10
SEED-112-100,Tomato GAMHAR RZ F7,SEED,100,7000,10
SEED-112-1000,Tomato GAMHAR RZ F7,SEED,1000,70000,10
SEED-112-500,Tomato GAMHAR RZ F7,SEED,500,35000,10
SEED-113-1000,Tomato JARRAH RZ F2,SEED,1000,82000,10
SEED-114-100,Tomato JARRAH RZ F3,SEED,100,8200,10
SEED-115-100,Tomato PRIMARINO RZ F6,SEED,100,75300,10
SEED-116-100,Tomato UWEZO RZ F4,SEED,100,25400,10
SEED-117-100,Tomato VALOURO RZ F1,SEED,100,49100,10
SEED-118-1000,Toughma,SEED,1000,17000,10
SEED-119-1000,Tralex,SEED,1000,145000,10
SEED-120-100,Trirosso,SEED,100,240000,10
SEED-121-100,Tropical Sunshine,SEED,100,136800,10
SEED-122-100,Ty 12 RZ,SEED,100,52300,10
SEED-123-1000,Ukza,SEED,1000,56000,10
SEED-124-100,Uwezo,SEED,100,25400,10
SEED-125-100000,Webber,SEED,100000,600000,10
SEED-126-1000,White cabbage TOUGHMA RZ F3,SEED,1000,17000,10
SEED-127-1000,White cabbage-Bluesma,SEED,1000,29000,10
SEED-128-1000,White cabbage-Swingma,SEED,1000,29000,10
SEED-129-100,White cabbage-Twistma,SEED,100,1600,10
SEED-129-1000,White cabbage-Twistma,SEED,1000,16000,10
SEED-130-100,Yellow zuppa,SEED,100,189800,10
SEED-131-100000,Zanardi,SEED,100000,600000,10
SEED-132-100000,Zarnadi,SEED,100000,600000,10
SEED-133-1000,alaine,SEED,1000,94000,10
SEED-134-100,amburana,SEED,100,13300,10
SEED-134-500,amburana,SEED,500,66500,10
SEED-135-1000,barlach,SEED,1000,152000,10
SEED-136-100,benue,SEED,100,10500,10
SEED-137-5000,concorde,SEED,5000,185000,10
SEED-138-1000,cook,SEED,1000,152000,10
SEED-139-100,fantastic,SEED,100,24900,10
SEED-140-100,kivu,SEED,100,210700,10
SEED-141-1000,kristine,SEED,1000,32000,10
SEED-142-10000,libero,SEED,10000,30000,10
SEED-143-100,multistar,SEED,100,61300,10
SEED-144-100,sondela,SEED,100,75600,10
SEED-145-1000,tourbillion,SEED,1000,99000,10
SEED-146-100,trambelinno,SEED,100,90400,10
SEED-147-1000,twistma,SEED,1000,16000,10
SEED-148-2500,zeppo,SEED,2500,207500,10
IPM-001,Horiver Blue,IPM,,0,10
IPM-002,Horiver Yellow,IPM,,0,10
IRRI-001,DRIP KIT DK500-G,IRRIGATION,,0,10
GREE-001,GREEN HOUSE,GREENHOUSE,1,0,10
